Attribute,Frequency
a bilateral alveolar and coarse interstitial pattern,1
"vague relative
 hypodensity",1
a segmental right lower lobe branch,1
99435,1
"a single, mild, non-sutural focus",1
"the left axilla
 region",1
[mild] small pleural effusions,1
right post obstructive pneumonia,1
upper cervical vertebral bodies,1
x30,1
tram,1
internal jugular cv line,1
694,1
14361,1
2904,1
"[**2160-9-15**] 3:50 pm
 bilat lower ext veins                                           clip #",1
to access need,1
"new pe
 reason",1
all these lesions,1
74607,1
"a 1.1
 cm hypoechoic structure",1
the underlying interstitial pattern,1
obstruction and post-obstruction pneumonia,1
stable hilar,1
the right knee,1
left supraclavicular region,1
"post obstructive
 pneumonia",1
92501,1
"remaining
 paranasal sinuses",1
history:76 yo man,1
"osseous
 mets",1
"anterior
 and posterior projections",1
static views,1
antilordotic,1
"periventricular
 flair-hyperintense abnormalities",1
"either recent or prior pulmonary
 embolism",1
"no
 similar lucency",1
"[**2160-9-14**] 6:53 pm
 mr head w & w/o contrast                                        clip #",1
further correlation,1
74608,1
perhaps a bone island,1
57037,1
"embolic
  infarct",1
no surgical intervention,1
the larger opacity,1
"a
 right lower lobe branch",1
bibasilar mixed ground-glass and consolidative opacities,1
their recent onset,1
nonspecific pulmonary nodules,1
"an abdominal
 radiograph",1
several subcentimeter vague,1
3-4 cm,1
"[**8-3**].

 history",1
"a
  metastatic focus",1
"the
  medial left temporal lobe",1
a 13 mm lesion,1
"2177-8-3**] 4:55 am
 chest",1
"indeterminate
 characteristics",1
third anterior rib level,1
"metastatic small cell
  lung cancer",1
ns,1
"a mildly
 dense cyst",1
3) possible nodule,1
rightupper lobe collapse,1
characterizable,1
"bilateral combined alveolar and interstitial
 pattern",1
"[**2132-4-24**] 11:40 am
 ct head w/o contrast                                            clip #",1
"ns
 consult/close f/u",1
benign lesions,1
"irregular
 enhancement",1
antilordotic positioning,1
pulmonary vascular plethora,1
the subependymal location,1
a peripherally-enhancing 8 x 10 x 8 mm lesion,1
mixed consolidative and ground-glass bibasilar densities,1
"recent pulmonary
 hemorrhage",1
a 9-mm  shift,1
nonspecific nodular opacities,1
an additional nodule,1
frontal corona radiata,1
"a 9 mm diameter nonspecific hypodense
 lesion",1
x 3.4 (cc) cm,1
3.9 (ap,1
an 8 mm hypodensity,1
"several additional
 sub",1
frontal and cerebellar lesions,1
post-central region,1
a focal scar,1
the lateral right kidney,1
"a 13 mm hypoattenuating
 focus",1
"the left mediastinal
 contour",1
right parieto-temporal lobes,1
definite lack,1
"axial
 and coronal reformats",1
a tiny focal calcification,1
possible leptomeningeal involvement,1
the subependymal enhancement,1
a nonspecific 6 mm focus,1
"the left
 internal jugular central venous catheter",1
rightupper,1
"a partially obstructive endobronchial
 component",1
a small-dilated bronchus,1
"no postobstructive consolidative
 changes",1
abnormal postcontrast enhancement,1
"the portable
 abdomen",1
"rule oput dvt
 ______________________________________________________________________________
                                 final report
 bilateral lower extremity vein ultrasound

 date",1
one supine radiograph,1
more solid 1.3 x 1.3 cm lesion,1
approximately 1.3 x 1.3 cm,1
the preoperative plain radiograph,1
anterior and posterior segments,1
"dense
 barium",1
"leftside bra
 admitting diagnosis",1
the right lower quadrant area,1
the multiloculated cystic abnormality,1
"ng tube distal tip
 projects",1
multiple distended small bowel loops,1
"the septal
 thickening",1
"an
 appropriate axial section",1
103547,1
"a round, heterogeneously enhancing lesion",1
the postcontrast study,1
"the
 appropriate section",1
tympanitic,1
a right upper lobe lung nodule,1
a tiny right apical pneumothorax present,1
"a surgical
 fixation device",1
"2:01 pm
 picc",1
"tpn
 admitting diagnosis",1
3d-reconstruction images,1
the left temporal lobe metastatic lesion,1
multiplanar reformation,1
"the superior right
 frontal lobe",1
"now
 postoperative day",1
"a
 enlarged 1.8 x 2.1 cm lymph node",1
a lobulated right lower lobe lung lesion,1
side brain mass,1
"the right sphenoid
 sinus",1
"(cont)
 liver",1
"the infrarenal
 aspect",1
"a
 very heterogeneous and irregular appearance",1
76-year-old man status post craniotomy,1
periventricular white matter hypoattenuation,1
"marked compression
 deformity",1
"the
 endplate",1
the l1 vertebral body superior endplate,1
1.  high-grade small-bowel obstruction,1
"small
 amounts",1
2.  irregularity,1
stable compression deformities,1
"[**2138-10-13**].

 comparison",1
12382,1
"[**2191-5-11**] 5:10 am
 portable abdomen                                                clip #",1
"a moderate-to-
 severe amount",1
"distended abd
 admitting diagnosis",1
"less likely peripheral necrotic
 neoplasm",1
"no new
 focus",1
possible abscess formation,1
w recurrent sbos,1
thick-walled 3.7 x 4.6 cm lesion,1
-lap/loa/ileocecal bypass,1
"tympanitic
 reason",1
distended abd,1
recurrent small bowel obstruction,1
hypoglycemic episode,1
"uncomplicated ultrasound and fluoroscopically guided 5 french
 double lumen picc line placement",1
101408,1
"acute bleed
 admitting diagnosis",1
"[**2191-5-5**] 6:19 pm
  no acute findings",1
74284,1
essential resolution,1
stable appearance rll nodule,1
"the bilateral common
 femoral, superficial femoral, and popliteal veins",1
]-white differentiations,1
"color
 doppler flow",1
acute bleed,1
suspicious right upper lobe lung lesion,1
a right intercostal transaxillary approach,1
"the
 bilateral common femoral veins",1
new lethargy,1
"biapical pleural
 parenchymal scarring",1
irregular right upper lobe lung nodule,1
several thickened septal lines,1
subpleural consolidation,1
the posterior occiput,1
"[**2189-9-27**] 2:35 pm
 ct head w/o contrast                                            clip #",1
normal respirophasic waveform,1
the distal consolidation,1
34807,1
74606,1
"a
 subpleural soft tissue mass",1
23 to 25 mm,1
"the final internal
 length",1
"[**2138-10-13**].

 technique",1
"previous right middle lobe
 consolidation",1
new confluent increased opacity,1
differentiations,1
the calves,1
2:09 pm,1
three 18-gauge x 7 mm tissue cores,1
"bleed, edema
 no contraindications",1
"hypoglycemic
  episode and ms changes
 reason",1
"[**2191-5-17**] 7:29 pm
 abdomen",1
partial craniectomy,1
"[**2138-10-13**] 3:19 pm
 bilat lower ext veins                                           clip #",1
"1:28 pm
 ct",1
a skin marker,1
6 cc,1
"[**hospital 2**] medical condition:
  75f pod9 s/p exlap",1
calves,1
73539,1
"[**2191-5-17**] 8:05 pm
  multiple gas-filled loops",1
fine lung detail,1
the apparent diameter,1
the bilateral lower extremity,1
75-year-old female pod,1
more right pleural effusion,1
the medial (pleural) border,1
no consolidative or mass-like lesions,1
20**]/1,1
"the
 cavitating pulmonary lesion",1
subjective shortness,1
definitely dilated loops,1
"no definite
 air",1
midline surgical skin staples,1
complete bowel obstruction,1
101407,1
43051,1
the more terminal ileum,1
"extensive
 tethering",1
multiple markedly dilated loops,1
scattered air-fluid levels,1
99219,1
"renal and ureteral calculi

 impression",1
post-obstructive pneumonia status post vats,1
"adjacent enlarged left axillary lymph
 node",1
a small to moderate sized right-sided pleural effusion,1
"the upright
 view",1
"[**2189-9-6**].

 chest",1
"right upper
 lobe lung lesions",1
74285,1
horus,1
"fungal
 infection",1
"a
 paramedian mediastinal drain",1
now post-rigid bronchoscopy,1
"radiograph

 comparison",1
"small
 and large bowel",1
a propofol infusion,1
9504,1
52818,1
"persistent geographically
 marginated opacities",1
the right paramediastinal upper lobe,1
"subtle
 opacification",1
"the
 paratracheal stations",1
near complete resolution,1
mediastinal bulges,1
"unchanged
 right upper lobe opacities",1
"final report
 abdominal series",1
"[**2181-12-10**] 7:36 pm
 chest",1
"hypercarbic
 respiratory failure",1
nonspecific air-fluid levels,1
"right
 upper lobe pulmonary mass",1
the outlines,1
73537,1
"numerous mediastinal, precarinal, and
 prevascular lymph nodes",1
"a right superior paratracheal
 lymph node measures",1
"[**2138-10-11**] 12:50 pm
  pfi",1
ct-guided core biopsy,1
14 x 16 mm,1
chronic fibrotic changes,1
"large right hemithorax
 masses",1
fibronodular opacities,1
"left
 brachiocephalic vein",1
medial wall,1
a few nodular areas,1
"only subtle
 ground-glass opacities",1
"[**2189-10-1**] 9:40 am
 chest",1
"the right lower
 lobe segmental branch",1
the provided clinical history,1
"(cont)
 multiplanar",1
2.  18-gauge core biopsy,1
no postobstructive changes,1
"[**2138-10-11**] 9:27 am
 mr head w & w/o contrast                                        clip #",1
~2.5,1
right lower lobe airspace opacities,1
undigested,1
"partially loculated right pleural
 effusion",1
"bilateral
 pleural thickening",1
43052,1
emphysematous and fibrotic changes,1
"right ureteral
 calculus",1
sided hilar/mediastinal adenopathy,1
right hilar neoplastic mass,1
93798,1
a calcified lymph node,1
left-sided lower extremity dvt,1
bra,1
the identified metastatic lesions,1
"a prior
 ct",1
103300,1
no lesional hemorrhage,1
post-obstructive lung abnormalities,1
"distended abd
 reason",1
"bowel obstruction
 no contraindications",1
the ct department,1
43050,1
"[**2191-5-4**] 11:43 pm
  high grade small bowel obstruction",1
"a very abnormal appearing
  uterus",1
hyperplastic nodes,1
rll pulmonary nodule,1
"the upper abdomen demonstrate
 dilated loops",1
"the common
 femoral, superficial femoral and popliteal veins",1
"bilateral common femoral, superficial femoral, popliteal, posterior tibial",1
"abnormal contrast
 enhancement",1
imaging modality,1
"right upper
 lobe wedge resection",1
a lobulated 24 x 17 mm lesion,1
"lower
 extremity veins",1
"the left temporal
 and superior right frontal lobe",1
"a 1.8 cm lobulated low-density
 structure suggestive",1
bulky right hilar lymphadenopathy and right mediastinal lymphadenopathy,1
cystic structures,1
an 11 mm calcified nodule,1
"a
 limited non-contrast ct",1
small rounded calcification,1
"mild bilateral pleural
 effusions",1
no recurrence,1
ladder,1
"[**2191-5-4**] 3:08 pm
 abdomen",1
abdominal girth,1
"the right
 paratracheal mass",1
"step-ladder
 pattern",1
"the extensive right pleural
 abnormality",1
103429,1
undigested food,1
"[**2138-10-25**] 8:48 pm
 abdomen",1
104903,1
also et tube placement,1
43252,1
pleural lining,1
step,1
"[**2191-5-4**] 3:08 pm
 chest",1
73538,1
breath post bronch,1
abdominal swelling,1
the left axillary intercostal biopsy path,1
"r/o dvt
 admitting diagnosis",1
lesional,1
"58 year old woman s/p rul wedge resection
 reason",1
"the healthcare
 proxy outlining risks",1
"[**3-10**], [**2191**].

 findings",1
"a 2.1-cm spiculated
 nodule",1
film detail,1
4.  incompletely characterized hypodense lesion,1
2.5-cm nodule,1
oput,1
"multiple
 areas",1
"the interval
 appearance",1
"blood
 flow",1
some right basal atelectasis,1
open wound,1
"no
 drainable collection",1
"biliary
 ductal dilatation",1
right parotid duct stone,1
report stone,1
"4:56 pm
 ct",1
(lung nodule,1
massive back wound,1
sided parotid stone,1
spinous processes,1
echo texture,1
multiple mets,1
r/o gallstone etiology,1
"mri
 showing lesion",1
continuous helical scanning,1
130 cc iv optiray contrast,1
"s/p chest tube removal

 reason",1
breaking,1
"major
 vascular territorial infarcts",1
minimal basal ganglia calcifications,1
incidentally noted calcifications,1
defining,1
19421,1
compromising,1
1-/2119,1
108390,1
"[**2135-6-16**] 12:02 am
 chest",1
"the
 c3-c4 neural foramen",1
only upper and mid chest,1
no definite primary cancer,1
bony lesions,1
"no suspicious
 sclerotic lesions",1
the questions,1
"the
 midline abdomen",1
"intrinsic or
 extrinsic disease",1
the mr- described cavernous hemangioma,1
"a right
 internal jugular central line",1
its reported small size,1
"the patient's dental
 prosthesis",1
typically limited visibility,1
the duct,1
"a
 noncontrast head",1
the uppermost part,1
the common hepatic duct,1
no additional abnormalities,1
almost 20 cm,1
hospital ct,1
a few punctate calcifications,1
ct abdomen findings,1
two subcentimeter low-attenuation lesions,1
"a
 subcentimeter simple cyst",1
"the gallbladder or
 cystic duct",1
"no definite obstructing distal
 parotid duct stones",1
some sclerosis,1
"the
 left si joint",1
our independent review,1
110360,1
i t7-t8 anterolisthesis,1
a tiny stone,1
up to 6 mm diameter,1
the right parotid duct,1
no pneumothorax or apical hematoma,1
a second tumor deposit,1
"[**2132-4-2**] 9:36 pm
 chest",1
this consolidative abnormality,1
new right internal jugular vein line,1
"[**4-2**].

 history",1
99428,1
continuous axial mdct images,1
"right
 internal jugular vein line",1
an extensive soft tissue mass,1
"no definite right pleural
 effusion",1
38**]:42 p.m.,1
"the persistent
 large left perihilar mass",1
109549,1
38**]:42,1
19419,1
"the previously
 described pulmonary densities",1
"this
 prevertebral swelling",1
"new lll
  effusion
 reason",1
the operative lung,1
] plain radiographs,1
384.64 mgy,1
some 5 cm,1
"spontaneous pulmonary venous
 thrombosis",1
"early
 consolidation",1
the prevertebral swelling,1
"a relatively stable
 postoperative appearance",1
wound/ulcer w/,1
vert processes,1
"indeterminate
 right adrenal nodule",1
110361,1
"final report
 mr thoracic spine",1
"[**2141-9-10**] 6:38 pm
 us abd limit",1
pain r/o gallstone etiology,1
right upper lobectomy s/p chest tube,1
contrast-enhanced studies,1
"[**2198-2-10**] 5:29 pm
 mr cervical spine w/o contrast                                  clip #",1
extensive paravertebral tumor,1
the questionable left upper lung nodule,1
the outside chest radiograph,1
postoperative eval,1
its fast appearance,1
not spinal cord compression,1
the fusion hardware,1
multiple non-enhanced head cts,1
3) interval increase,1
"lateral chest
 radiographs",1
a second metastatic deposit,1
the c4-c5 level,1
19418,1
new r ij,1
"[**2135-6-21**] 3:21 pm
 chest",1
9:51 p.m.,1
a msall right pleural effusion,1
associated linear,1
prominent degenerative changes,1
the right acromioclavicular joint,1
"the
 surrounding soft tissue",1
multiple mr heads,1
a lateral film,1
"pancreatitis
 reason",1
19425,1
msall,1
the patient's pain,1
extensive artifact,1
no discrete fluid component,1
the left superficial femoral and popliteal veins,1
"the right lower lobe
 common bronchus",1
"60
 cm",1
19426,1
antibio,1
no paresthesias,1
radial pulses,1
the iv infiltration,1
refuses,1
onc,1
plastics,1
evolving bibasilar pneumonia,1
grafting,1
2503,1
"[**2135-7-15**] 2:25 pm
 chest",1
109550,1
a new widespread area,1
"[**2132-4-1**] 9:01 am
 ct head w/o contrast                                            clip #",1
a third time,1
the iv,1
"the
 replaced iv",1
also smaller areas,1
single frontal image,1
the posterior cranial fossa and extra-axial csf spaces,1
subsequently 50 cc,1
"interval
 adjustment",1
"the right parotid
 duct",1
new basal,1
"[**first name9 (namepattern2) 24719**] [**first name8 (namepattern2) **]
 [**last name",1
"the stomach and side
 port",1
"no definite obstructing distal ductal
 stones",1
a warm compress,1
the patient's dental prosthesis,1
a persistent small right apical pneumothorax,1
the existing picc line catheter,1
"massive chronic
  necrotic back wound",1
plastics attempt,1
"the leftward
 displaced svc",1
"skin grafting
 reason",1
please d/c old picc line,1
106351,1
multiple small pulmonary nodules,1
antibiotic administration,1
"stage iv non-small cell lung
 cancer",1
old pic line,1
9:00 p.m.,1
the existing picc line,1
"the
 patent lumen",1
"a plastic surgery
 consult",1
the existing venous approach,1
several small cervical lymph nodes,1
"improved pneumonia
 admitting diagnosis",1
a new double-lumen pic line,1
the total length,1
the pic line,1
improved pneumonia,1
60 cm,1
recent passage,1
no local anesthesia,1
the infiltration,1
uncomplicated fluoroscopically guided replacement,1
"a 5 french
 double-lumen pic line",1
"final report
 two-view chest

 comparison",1
right consolidation/atelectasis,1
question hemorrhage,1
"advancing
 tube",1
submandibular regions,1
slightly asymmetric atrophy,1
lamina screws,1
posterior rods,1
"[**2151-8-12**] 4:08 pm
 ct head w/o contrast                                            clip #",1
"[**2104-9-16**] 11:25 am
 ct chest w/contrast",1
any case,1
mult mets s/p left suboccipital craniectomy resection,1
"[**2135-6-18**] 1:54 am
  multiple well-defined lung nodules",1
", likely metastatic disease",1
the prior ct cervical spine,1
defined sclerosis,1
"1500
 no contraindications",1
left ilium,1
99423,1
"both
 studies",1
"the bilateral anterior and posterior cervical
 chains",1
mri findings,1
"multiple hyperintense
  nodules",1
large soft tissue,1
column w/ gas tracking,1
previous trauma,1
extensive overlying bowel gas,1
"no
 abnormally slow focus",1
"numerous
 scattered small lymph nodes",1
three tiny punctate calcifications,1
"previous mr

 comparison",1
no old studies,1
only mild adjacent inflammatory stranding,1
a moderately large volume,1
the lytic destructive lesion,1
distal position,1
"a left picc
 line",1
19427,1
"[**2135-6-19**] 2:04 pm
 chest port",1
the current measurement,1
[**2132-3-15**] noncontrast head,1
"this
 facility",1
"prior
 head",1
103922,1
"the
 present noncontrast head",1
individual measurments,1
the prior [**,1
incident report,1
tip confirma,1
"[**2135-6-16**].

 findings",1
the cavoatriocaval junction,1
a visible intracranial mass lesion,1
the proximal right parotid duct,1
tiny 1-2 mm stone,1
18:24,1
the large left lung base opacity,1
"the large left
 lung base opacity",1
right parotid gland and right parotid duct,1
19423,1
several small nodular densities,1
similar ct density,1
confirma,1
"both
 transverse processes",1
c2 and associated pathologic fracture,1
cavoatriocaval,1
complex back wound,1
dealing,1
underlying bone,1
110362,1
multifocal multilevel replacement,1
"bone
 marrow",1
"5:05 am
 mr head w/ contrast                                             clip #",1
prior fusion,1
the patient's known primary small cell lung cancer,1
the pancreatic tail,1
2053,1
question consolidation,1
multiple fracture fragments,1
flair sequence,1
these vertebral body abnormalities,1
"[**2132-3-31**].

 portable ap radiograph",1
an additional 9-mm pancreatic parenchymal lesion,1
the s3 level,1
the l3-l4 level,1
"a heterogeneous
 enhancement",1
a lytic appearance,1
the epidural fat,1
significant involvement,1
a residual unchanged small apical pneumothorax,1
the psoas muscles,1
remnant lung tissue,1
epidural abnormality,1
"vertebral
 metastases",1
"pancreatic
 secretion flow",1
"incomplete upper lobe
 resection",1
"neurosurgery
 no contraindications",1
the t4-t5 level,1
the dorsal surface,1
101857,1
"incompletely visualized
 bilateral lung nodules",1
the epidural abnormality,1
the c2 lamina,1
paraspinal soft tissue,1
a posterior epidural extension,1
lytic tumor,1
rheum,1
"needs
  ct chest",1
108602,1
"6:10 pm
 chest",1
p posterior crani,1
irrelevant,1
"[**2132-4-2**] 6:59 am
 chest",1
posterior paraspinal,1
that t6 level,1
the right lamina,1
"[**2151-8-12**] 8:52 pm
  ett",1
c1-c3,1
endogastric tube side port projects,1
"clearing
 aspiration",1
subsequent pneumonia,1
no epidural abnormality,1
"postoperative
 fullness",1
"a small
 right-sided paracentral disc protrusion",1
the gastric tube,1
"a small left paracentral
 disc protrusion",1
t7-t8,1
"ensuing
 total",1
110367,1
the t3-t4 level,1
"the t1 post-
 gadolinium sequence",1
"the
 distal body",1
thin cuts,1
"the t3-t4
 level",1
"angioplasty and lysis
 infusion",1
82878,1
"[**2192-7-12**] 6:36 pm
 chest",1
90189,1
dobbhoff advancement,1
another 10 cm,1
successful dobbhoff advancement,1
81215,1
539**] guidewire,1
r/u,1
enlarging right middle lobe lung mass,1
"the
 mid and lower right lung zones",1
"right mid lung airspace
 opacity",1
"chf, esrd, sob
 reason",1
mural irregularity,1
axial t1 post-contrast images,1
"small
 right-sided pleural effusion persists",1
"the
 stented component",1
"a
 wall-based filling defect",1
81858,1
89870,1
"a prominent peri-aortic
 lymph node",1
"the
 etiology",1
additional confluent opacity,1
81991,1
"globular filling
 defects",1
small nonocclusive,1
the patient's known metastatic disease,1
"high-grade
 indentation",1
"a 10-mm,
 2-cm angioplasty balloon catheter",1
stable right lower lobe atelectasis,1
severe pneumonia,1
post-contrast axial mp-rage,1
the main pancreatic duct,1
"lue weakness
 reason",1
intrathecal extension,1
"2.  stable, small right apical pneumothorax",1
110359,1
3.  erosion,1
"this soft
 tissue",1
no cervical or lumbar epidural abnormalities,1
"no cervical or lumbar
 cord signal abnormalities",1
"2 mg
 tpa",1
10-cm infusion length,1
multifocal signal changes,1
"[**2151-8-12**]
 no contraindications",1
1.  8-mm mildly enhancing lesion,1
41450,1
"a 5
 french angiodynamics catheter",1
"multifocal osseous metastatic
 disease",1
this dynamic series,1
5 mass,1
epid,1
progressive c2 disease,1
old residual filling defects,1
known vertebral metastases,1
the side-arm,1
"right thorocotomy
 reason",1
100% mask,1
the irregularities,1
continued loculation,1
"anterior cortex screw tip
 protrusion",1
left paraspinal soft tissue,1
the t2-t3 level,1
at least two increasing pulmonary nodules,1
approximately t11,1
the greatest depth,1
the right retrocardiac area,1
extensive soft tissue abnormality,1
the c2 level compromising evaluation,1
this hardware,1
approximately t2,1
"markedly
 hypointense",1
the mr images,1
"chronic
 osteomyelitis",1
the cervical fusion,1
"a
 right lung nodule",1
cervical spine plain radiographs,1
110365,1
a right perihilar opacity,1
a protrusion,1
"(cont)
 present",1
the multiple supratentorial metastatic lesions,1
the t7-8 intervertebral disc,1
both infectious and neoplastic pathology,1
the diffuse vertebral body signal intensity abnormalities,1
"the right
 lung nodule",1
the large ulceration,1
gradient-echo technique,1
foley catheter and rectal tubes,1
"long
 tr",1
"13 x 18
 mm",1
indeterminate mass,1
"the
 mass effect",1
the bulky right hilar,1
an intraspinal epidural abscess,1
water      seal,1
"the prior mr
 examination",1
"short tr,
 short te spin echo",1
stir technique,1
"short tr, short te spin echo and long tr, long te spin echo technique",1
"short
 tr",1
two pancreatic metastases,1
l consolidation,1
"status post
 cranioplasty",1
probable hepatic metastasis,1
the rapid evolution,1
", short te spin echo imaging",1
"extensive
 necrotic centered mediastinal lymphadenopathy and lymphangitic carcinomatosis",1
more encroachment,1
"left main stem
 bronchus",1
the left posterior fossa,1
"stable bilateral
 small pleural effusions",1
"spine
 plain radiographs",1
minimal residual post-operative changes,1
relatively little encroachment,1
extensive signal intensity abnormalities,1
"the
 visualized vertebral bodies",1
"apparent
 vertebral distribution",1
the infection,1
early osseous metastatic disease,1
a large defect,1
extensive spread,1
this defect,1
approximately t1,1
this intraspinal soft tissue,1
no drainable fluid collection,1
"a small left and small
 right effusion",1
no cervical epidural abnormality,1
a large ulceration,1
"[**4-4**].

 findings",1
some collapse/postoperative changes,1
"a small-to-moderate-sized right pleural
 effusion",1
the inferior facet,1
"the more
 distal",1
his back eroding,1
saturated post-contrast images,1
only patent,1
axial t1 fat,1
nearly every vertebral body,1
"no cervical cord signal
 abnormality",1
"extensive necrotic centered
 mediastinal and right hilar adenopathy",1
"each
 screw tip",1
vert lesions,1
"there has been improved
 aeration",1
c3 traverse,1
facet screws,1
a more nodular enhancing area,1
the screw tip,1
"small posterior disc
 protrusions",1
hypotensive w/firm abdomen,1
a large soft tissue defect,1
"t8 spinous
 processes",1
384.64,1
a posterior intraspinal position,1
a diffuse increase,1
interstitial and alveolar markings,1
some cement,1
level ii necrotic nodes,1
"(cont)

 conclusion",1
2:4,1
both metastatic disease,1
chronic infection,1
intraspinal enhancement,1
5) hepatic low attenuation foci,1
"long tr, long te fast spin-echo, short tr,
 short te spin-echo, and stir technique",1
arm weakness,1
"two
 separate metastases",1
t7-8 disc protrusion,1
"final report
 mr cervical spine",1
a single lead pace maker,1
"the
 recent mr",1
"8:06 pm
 mr",1
"arm weakness
 reason",1
103921,1
a nodular density,1
"some mild
 blunting",1
left ij vein,1
necrotic level ii lymph nodes,1
c3 facet screws,1
intra-facet joint location,1
abnormal signal hyperintensity,1
109385,1
consolidative process,1
"water
      seal",1
"decreased
 density",1
"waterseal and
 desaturation",1
"vertebral osteo, possible spinal mets/epid abscess
 reason",1
screw protrusion,1
onc care,1
followup instructions,1
61m h/o,1
the physicians,1
69824,1
a somewhat more lordotic configuration,1
"marked subcutaneous
 emphysema",1
the anesthesia record,1
11:50 am,1
the pacu unit,1
persistently hypoxemic,1
suprajacent,1
"minimal drainage
 reason",1
pna/abscess/progression,1
"pleurex placement
 no contraindications",1
69955,1
07:53,1
the two needles,1
the cement,1
[**2166-8-1**] 11:30 pm,1
pulmonary plethora,1
"tumor/post-obstructive infection
 no contraindications",1
a complete whiteout,1
left line,1
"the aortopulmonary
 window",1
cement material lateral,1
minimal extravasation,1
emboectmy,1
the largest nodule,1
approximately 3 cc,1
previous thoracotomy,1
a small caliber chest tube,1
"moderate-sized
 right pneumothorax",1
"2.  stable, small, persistent right pleural space",1
"transpedicular
 approach",1
99667,1
"right picc
 placement",1
10151,1
84301,1
9:12 am,1
63612,1
the side port marker,1
carcinomatous disease,1
"final report
 lumbar puncture",1
78971,1
"fluoroscopic-guided lumbar
 puncture",1
"8:01 am
 ct",1
any complications,1
"post-
 procedure orders",1
78970,1
866,1
the small persistent right pleural space,1
"hemotysis

 reason",1
tpa/10,1
concentration,1
carcinomatous,1
an e,1
869,1
"[**2141-9-12**] 9:29 am
 chest port",1
angiodynamics,1
stage iiib lung cancer s/p bronchal stent,1
"effusion
 ______________________________________________________________________________
                                 final report
 reason",1
portable ap chest exam,1
"three
 right chest tubes",1
"pleurex
  catheter placement",1
"postoperative right
 pneumothorax",1
67 y/o male,1
two 11-gauge needles,1
no adnexal masses,1
extensive detail,1
interventional neuroradiologist,1
"7pm
 _",1
pathological fracture stability,1
two or three right-sided chest tubes,1
the remaining right hemithorax,1
70470,1
fluoroscopic-guided vertebroplasty,1
"a
 moderate-sized right pneumothorax",1
69826,1
"t4
  vertebral body",1
1201b:62,1
paresthesias,1
[**numeric identifier 63612**] fluoro s&i perc vertebro,1
continued extensive subcutaneous emphysema,1
[**numeric identifier 78970**] perc,1
0.5 mg tpa/hr,1
2066,1
"[**2163-2-4**] 6:51 am
 chest",1
an infusion,1
16268,1
advaseal,1
2 mg tpa,1
"recent chest
 radiographs",1
the crossing,1
inlet pathology,1
"the fifth and sixth
 ribs",1
surgicel,1
69957,1
"continued
 moderate-sized right basilar pneumothorax",1
thromboectmy,1
metastatic non small cell lung carcinoma,1
postoperative right pneumothorax,1
70020,1
"[**2141-9-13**] 3:44 pm
 chest port",1
"the right posterior
  costophrenic sulcus",1
lateral fluoroscopy,1
"the aerated
  left lung",1
69828,1
stage iiib lung cancer status,1
continuous ap,1
08:08,1
"2163-1-25**] 7:21 am
 chest",1
"a moderate-sized
 right pneumothorax",1
69822,1
"catheter
 placement",1
"a small-
 moderate non-hemorrhagic pleural effusion",1
s/p rml / rll,1
loaclized,1
two 22-gauge spinal needles,1
medical associates,1
the upper back,1
mid pole,1
a moderate right pneumothorax present,1
99421,1
focal discoid atelectasis,1
9772,1
69821,1
the start,1
the neuroradiology suite,1
865,1
"previous
 radiographs",1
"[**2198-1-24**] 7:55 pm
 mr thoracic spine w/o contrast                                  clip #",1
the left-sided stent,1
t4 vertebral body,1
"the
 right parietotemporal region",1
gradient echo imaging,1
"a dedicated
 c-spine study",1
the scout images,1
"melanoma
 reason",1
a large subcarinal lymph node,1
the right subclavian stent,1
-gadolinium t1 hyperintensity,1
the neck veins,1
"the right-
 sided stent",1
3.1 x 2.0 cm,1
the remaining imaged paranasal sinuses,1
the visualized c2 vertebral body,1
"right transverse
 process",1
right apical fluid collection,1
"the
 contrast-enhanced images",1
863,1
marked artifact,1
t2- weighted images,1
"]
 enhancing lesion",1
bilateral subclavian stents,1
"cerebellar
 hemispheric regions",1
numerous enhancing foci,1
lower extremity rash,1
right transverse process,1
"iv contrast
 no contraindications",1
"minimal
 amount",1
persistent encephalomalacia,1
"the non-diagnostic axial
 images",1
"stable
 mediastinal soft tissue",1
"the segmental
 bronchi",1
"a right main stem
 bronchus stent",1
a shrunken right kidney,1
its enhancement pattern,1
89333,1
iv co,1
lung cancer status post seizure,1
radiopaque material projects,1
"enhanced
  scan",1
"punctate
 focus",1
a left-sided catheter,1
subtle signs,1
"unchanged moderate
 cardiomegaly",1
"multiple pretracheal
 lymph nodes",1
the retrocardiac atelectasis,1
89874,1
"left upper lobe post-radiation
 changes",1
"the
 entire lung",1
the right-sided pulmonary opacities,1
"a
 direct venous injection",1
sudden dyspnea,1
some reason,1
"the
 vertebroplasty",1
:  71-year-old woman,1
the metallic opacifications,1
"the thoracic
 outlet",1
"the
 still substantial pulmonary vascular congestion",1
"volume
  overload",1
64 year old man s/p vertebroplasty,1
"signal
 hyperintensity",1
similar enhancement pattern,1
6.2 x 3.9 cm,1
"soft tissue injury
 admitting diagnosis",1
858,1
52800,1
new pathologic t4 fracture,1
4.  picc tip projects,1
"[**2101-5-22**] 4:39 pm
 hip",1
"unchanged extensive right pleural
 thickening",1
"minimal ethmoid and sphenoid air cell mucosal
 thickening",1
"renal failure

  yes",1
new mild right basilar atelectasis,1
unilat 2 view,1
