General Attribute,General Frequency,Matched Medical Attributes,Matched Medical Frequencies,Mean Cosine Similarity,Direction
wall,1350,Chest Wall Structure; Wall Of Colon; Gallbladder Thickening Wall; Free Wall Of Right Atrium; Bronchial Wall Thickening; Bladder Wall Thickening; Inferior Part Of Chest Wall; Wall Of Gallbladder; Gastrointestinal Wall Thickening; Wall Of Bronchiole; Wall Of Aorta; Abdominal Wall Structure; Stomach Wall Structure; Structure Of Wall Of Urinary Bladder; Repair Of Chest Wall; Subdivision Of Chest Wall; Wall Motion; Structure Of Inferior Wall Of Orbit; Heart Left Ventricular Wall; Musculature Of Abdominal Wall; Reconstruction Of Chest Wall; Anterolateral Part Of Chest Wall; Wall Of Pulmonary Artery; Free Wall Of Left Atrium; Chest Wall Closure; Structural Abnormality Of The Chest Wall; Cyst Wall; Superior Part Of Chest Wall; Deformity Of Chest Wall,443; 6; 16; 1; 50; 4; 9; 36; 24; 1; 7; 8; 4; 5; 1; 1; 7; 1; 1; 1; 36; 1; 1; 2; 1; 1; 1; 1; 5,0.7792159325065582,General ⊂ Medical
bundle,7,Bronchovascular Bundle; Electrocardiographic Right Bundle Branch Block,16; 1,0.7793363331455534,General ⊂ Medical
well,2122,Well Marginated Nodule; Not Well; Laser Suite Retina Patient Tolerated Procedure Well Treatment; Well Differentiated; Computed Tomography Of Abdomen : Pancreas Not Well Visualized Procedure; Previously Well,286; 190; 103; 21; 2; 1,0.7795912988952242,General ⊂ Medical
ability,8,Swallowing Ability; Ability To Stand Upright,1; 2,0.779879727439221,General ⊂ Medical
identity,23,Sense Of Identity Observable Entity; Patient Identity,8; 15,0.7798945726476443,General ⊂ Medical
disc,236,Narrowing Of Intervertebral Disc Space; Anisotropic Disc; Degeneration Of Intervertebral Disc; Structure Of Intervertebral Disc; Endplate Of Intervertebral Disc; Intervertebral Disc Structure Of Third Cervical Vertebra; Disc Disorders; Intervertebral Disc Structure Of Third Lumbar Vertebra,10; 6; 14; 10; 1; 1; 1; 1,0.7801132397708312,General ⊂ Medical
body,624,Mass Of Body Structure; Body Position Recumbent Lateral Decubitus; Set Of Bones Of Body; Elimination Function Of The Body; Calcium Buildup In Soft Tissues Of Body; Leiomyoma Of Body Of Uterus; Region Of Neck Body Structure; Spur Body Structure; Recumbent Body Position; Thoracic Aorta And Its Branches Body Structure; Peritoneal Fluid Body Substance; Mucous Body Substance; Body Remains; Assessment Of Body Build; Abdominal Aorta And Its Branches Body Structure; Structure Of Body Of Pancreas; Renal Artery And Its Branches Body Structure; Body Position Kneeling; Vertebral Body Abnormalities; Structure Of Body Of Lateral Ventricle; Body Of Uterus Structure; Structure Of Body Of Corpus Callosum; Vertebral Body Haemangioma; Middle Region Of Body; Rostral Body Of The Corpus Callosum; Entire Body Of Fourth Thoracic Vertebra; Entire Lower Abdominal Quadrant Body Structure; Entire Back Body Structure; Structure Of Bone Marrow Of Vertebral Body; Structure Of Body Of Sternum; Entire Body Of Fifth Lumbar Vertebra; Posterior Cerebral Artery And Its Branches Body Structure; Mid Body Of Stomach,4408; 35; 50; 98; 696; 31; 17; 9; 11; 1; 12; 23; 1; 17; 7; 7; 1; 1; 2; 2; 18; 1; 1; 2; 2; 4; 1; 2; 1; 1; 1; 1; 1,0.7801712890795256,General ⊂ Medical
widening,168,Mediastinum Widening; Widening Of The Ventricles,100; 1,0.7802455213547244,General ⊂ Medical
continuous,82,Biphasic Continuous Positive Airway Pressure,15,0.7803039108804836,General ⊂ Medical
slow,67,Slow Growth Rate; Slow To Focus,2; 1,0.7803848416628187,General ⊂ Medical
us,305,Multisection : Find : Pt : Abdomen : Doc : Us; Multisection : Find : Pt : Extremity : Doc : Us,8; 1,0.780797147862941,General ⊂ Medical
mid,1266,Mid Body Of Stomach,1,0.7808553294820147,General ⊂ Medical
flexible,18,Flexible Bronchoscopy,9,0.7809080038182946,General ⊂ Medical
fewer,2,Fewer Than Expected,2,0.7810773610916519,General ⊂ Medical
showing,56,Behaviour Showing Increased Motor Activity,5,0.7812693182967905,General ⊂ Medical
tension,67,Tension Pneumocephalus; Pneumothorax Tension Pneumothorax,1; 2,0.7812769781808235,General ⊂ Medical
plate,21,Plate Like Atelectasis,44,0.7812904106727342,General ⊂ Medical
median,132,Median Eminence Of Posterior Lobe Of Pituitary Gland; Sternotomies Median,1; 121,0.7813546861278915,General ⊂ Medical
nodes,932,Enlarged Lymph Nodes Unspecified; Set Of Inferior Tributary Of Tracheobronchial Lymph Nodes; Set Of Abdominal Proper Lymph Nodes; Set Of All Parietal Lumbar Lymph Nodes; Set Of Juxta Oesophageal Lymph Nodes; Schmorl S Nodes Of Unspecified Region; Lymph Necrotic Nodes; Excision Of Group Of Lymph Nodes; Enlarged Axillary Lymph Nodes Bilaterally; Diseases Of The Lymph Nodes,885; 43; 3; 7; 7; 15; 22; 7; 1; 1,0.7814355661865054,General ⊂ Medical
dome,27,Dome Shaped; Dome Of Liver,1; 1,0.7817445699933223,General ⊂ Medical
chin,16,Chin Down,2,0.7818310740810902,General ⊂ Medical
tract,71,Gastrointestinal Tract Pancreas; Gastrointestinal Tract Small Intestine; Gastrointestinal Tract Feces; Git Gastrointestinal Tract Haemorrhage; Biliary Tract Structure; Upper Gastrointestinal Tract Structure; Upper Gastrointestinal Tract Radiography; Structure Of Upper Respiratory Tract Cavity; Structure Of Outflow Tract Of Right Ventricle; Biliary Tract Laparoscopy Assessment Gallbladder Appeared Normal Treatment; Upper Aerodigestive Tract Structure; Transitional Cell Neoplasm Of The Urinary Tract; Gastrointestinal Tract Vascular Insufficiency; Gastrointestinal Tract Structure; Inflammatory Fistulous Tract,140; 321; 16; 123; 6; 3; 29; 5; 5; 1; 1; 3; 2; 1; 2,0.7820335549472132,General ⊂ Medical
good,192,Glaucoma Drainage Tube In Good Position; Good Effect,18; 1,0.7821573894268032,General ⊂ Medical
basically,2,My Appearance Has Basically Not Changed,1,0.7821782939617423,General ⊂ Medical
sided,677,Left Sided Pleural Effusion; Right Sided Pleural Effusion; X Ray Of Chest : Right Sided Mediastinal Lymphadenopathy; Left Sided Abdominal Pain,184; 270; 1; 1,0.7821935117072095,General ⊂ Medical
fusiform,8,Fusiform Abdominal Aortic Aneurysm,2,0.7823069143751323,General ⊂ Medical
masses,737,Adnexal Masses; Paraspinal Masses; 030 031 Masses And Nodules,6; 1; 1,0.7823400400145442,General ⊂ Medical
growth,10,Slow Growth Rate; Epidermal Growth Factor Receptor Protein Tyrosine Kinase,2; 2,0.782414339696172,General ⊂ Medical
node,687,Enlargement Of Mesenteric Lymph Node; Reticuloendothelial System Lymph Node; Anatomic Node; Posterior Common Hepatic Lymph Node; Pericardial Lymph Node; Enlarged Supraclavicular Lymph Node; Structure Of Lymph Node Of Right Axilla; Biopsy Of Mediastinal Lymph Node; Retroperitoneal Lymph Node Enlargement; Structure Of Lymph Node Of Left Axilla; Enlarged Right Axillary Lymph Node; Structure Of Retroperitoneal Lymph Node; Enlarged Left Axillary Lymph Node; Positive Lymph Node; Structure Of Anterior Mediastinal Lymph Node; Lymph Node Of Aortopulmonary Window; Lymph Node Mass; Right Supraclavicular Lymph Node; Enlarged Right Supraclavicular Lymph Node; Left Supraclavicular Lymph Node; Structure Of Coeliac Lymph Node; Retrocrural Lymph Node; No . 12P Hepatic Lymph Node; Pelvic Lymph Node Structure; Right Upper Paratracheal Lymph Node; Right Lumbar Lymph Node Group Proper; Lymph Node By Anatomic Site; Lymph Node . Bilateral; Enlarged Mesenteric Lymph Node; Biopsy Of Cervical Lymph Node; Lesser Curvature Gastrohepatic Ligament Node; Structure Of Prevertebral Lymph Node; Gastrohepatic Lymph Node; Shotty Lymph Node; Enlargement Of Iliac Lymph Node; Supraclavicular Lymph Node Enlargement; Negative Lymph Node; Excision Procedures On Lymph Node Of Axilla; Right Infraclavicular Lymph Node; Right Pretracheal Lymph Node,25; 561; 378; 3; 6; 6; 2; 4; 2; 6; 3; 43; 8; 7; 36; 9; 42; 9; 1; 6; 3; 12; 12; 6; 5; 2; 6; 1; 2; 1; 1; 1; 1; 1; 1; 1; 2; 1; 1; 1,0.7825372621930766,General ⊂ Medical
base,1565,Structure Of Base Of Left Lung; Structure Of Base Of Right Lung; Structure Of Base Of Lung; Base Of Skull Structure; Lung Base Atelectasis; Base Of The Brain; Bronchial Breath Sounds At Left Base,256; 390; 56; 49; 11; 1; 1,0.782629955725459,General ⊂ Medical
seminal,28,Procedures On Prostate And Seminal Vesicle; Seminal Vesicle Structure,7; 21,0.7827809948732247,General ⊂ Medical
myocardial,128,St Segment Elevation Myocardial Infarction; Mi Myocardial Infarction; Myocardial Infarctions Diaphragmatic; Family History Of Myocardial Infarction; Acute St Elevation Myocardial Infarction By Ekg Finding,79; 46; 30; 2; 1,0.7830059805531746,General ⊂ Medical
hiatus,15,Oesophageal Hiatus Hernia; Sliding Hiatus Hernia,98; 1,0.7831223910439276,General ⊂ Medical
veins,828,Thrombosis Of Subclavian Veins; Lower Extremity . Right Lower Extremity Veins; Central Veins; Upper Extremity . Right Upper Extremity Veins; Ultrasound Of Lower Extremity Veins,1; 1; 1; 1; 1,0.7831897823772088,General ⊂ Medical
nervous,1,Central Nervous System White Matter; Structure Of Nervous System Ganglion; Malignant Neoplasm Of The Central Nervous System; Central Lesions Nervous System; Nervous System Pituitary; Autonomic Nervous System Structure; Primary Central Nervous System Lymphoma; Central Nervous System Mass; Central Deficits Nervous System; Infectious Disease Of Central Nervous System; General Operative Procedures On The Nervous System,144; 84; 1; 8; 7; 1; 2; 1; 2; 3; 3,0.7832455040487879,General ⊂ Medical
scalp,25,Frontal Zone Of Scalp; Swelling Of Scalp; Lipoma Of Skin And Subcutaneous Tissue Of Scalp; Temporal Region Of Scalp,4; 1; 1; 1,0.783248022957509,General ⊂ Medical
disease,2036,Disease Involvement Site; Malignant Neoplastic Disease; Chronic Infiltrative Lung Disease; Malignant Disease; Copd Chronic Obstructive Pulmonary Disease; Lymphangitic Metastatic Disease; Fulminant Graft Versus Host Disease; Degenerative Joint Disease; Interstitial Disease; Neoplastic Disease Extent Indicator; Bullous Disease; Cad Coronary Artery Disease; Infectious Disease Of Lung; Disease Disorder Etiology; Airways Disease; Ad Alzheimer S Disease; Kawasaki Disease Associated Coronary Artery Aneurysm Z Score Suggests Small Aneurysm; Personal History Of Coronary Artery Disease; Chronic Graft Versus Host Disease; Disease Granulomatous Lungs; Fibrotic Lung Disease; Measurable Residual Disease; Ganglioside Sialidase Deficiency Disease; Regression Disease; Fungal Infectious Disease; Kawasaki Disease Associated Coronary Artery Aneurysm Z Score Suggests No Involvement; Severe Disease; Chronic Infectious Disease; Abscess With Diverticular Disease Of Colon; Pvd Peripheral Vascular Disease; Pud Peptic Ulcer Disease; Ischaemic Heart Disease Angina; Recurrent Infectious Disease; Chronic Sinus Disease; Acute Disease Disorder; Inflammatory Lung Disease; Disease Related; Disease Or Disorder Liver Cystic Congenital; Dependence On Dialysis Due To End Stage Renal Disease; Decompensated Liver Disease Disorder; Stigmata Of Chronic Liver Disease; Economic Burden Of Disease; Ald Alcoholic Liver Disease; Infectious Disease Of Central Nervous System; Gastro Oesophageal Reflux Disease With Oesophagitis; Debrancher Deficiency Glycogen Storage Disease; Mnd Motor Neurone Disease; Upper Motor Neuron Disease,3; 25; 12; 7; 12; 56; 19; 3; 16; 11; 16; 61; 4; 29; 20; 1; 3; 5; 61; 1; 2; 8; 2; 3; 12; 2; 1; 2; 11; 3; 3; 5; 1; 2; 1; 2; 1; 3; 2; 1; 1; 1; 1; 3; 1; 1; 3; 4,0.7833829051172813,General ⊂ Medical
breath,698,Increased Shortness Of Breath; Sob Shortness Of Breath; Severely Short Of Breath Answer; Mild Shortness Of Breath; Diminished Breath Sounds; Shortness Of Breath Question; Coarse Breath Sounds; Intermittent Shortness Of Breath; No Shortness Of Breath; Breath Holding With Temper; Auscultation Bronchial Breath Sounds; Bronchial Breath Sounds At Left Base; Some Shortness Of Breath,19; 3; 3; 3; 1; 3; 8; 1; 1; 1; 1; 1; 1,0.7833891480751345,General ⊂ Medical
via,258,Drug Administration Via Gastrostomy; Drug Administration Via Jejunostomy,63; 63,0.7834309584172943,General ⊂ Medical
pupil,14,Anisocoria Unequal Pupil Diameter,4,0.7835119760637881,General ⊂ Medical
duct,119,Inflammation Of Common Bile Duct; Cystic Duct Structure; Dilation Of Duct; Bile Duct Dilatation Finding; Ligation Of Thoracic Lymph Duct; Bile Common Dilatation Duct,18; 2; 8; 2; 4; 1,0.7835893974072713,General ⊂ Medical
margin,162,Deep Resection Margin; Lateral Margin; Inferior Margin; Posterior Margin; Proximal Resection Margin; Anterior Margin; Superior Margin; Lesion With Spiculated Margin; Medial Margin,78; 12; 29; 16; 54; 5; 9; 11; 1,0.7836158860196866,General ⊂ Medical
hemodynamic,55,Cath Hemodynamics Hemodynamic Monitoring,4,0.7837818588092351,General ⊂ Medical
elevation,325,St Segment Elevation Myocardial Infarction; Chest Xray Diaphragm Elevation Unilateral; Elevation Value; Acute St Elevation Myocardial Infarction By Ekg Finding,79; 3; 2; 1,0.7838271814590416,General ⊂ Medical
trunk,65,Structure Of Trunk; Trunk Of Systemic Arterial Tree; Structure Of Trunk Of Pulmonary Artery; Trunk Of Renal Arterial Tree; Sphenoid Part Of Trunk Of Middle Cerebral Artery; Trunk Of Elephant; Trunk Of Right Bronchial Artery,30; 736; 481; 88; 2; 13; 2,0.7839561503574285,General ⊂ Medical
lens,5,Structure Of Lens Of Eye,5,0.784135929080499,General ⊂ Medical
progression,563,Progression Of Non Small Cell Lung Cancer,1,0.7842506032321686,General ⊂ Medical
retained,58,Retained Barium; Retained Secretions,3; 14,0.7843126684675421,General ⊂ Medical
long,86,Increased Long Bone Fracture Rate,1,0.7844888681513132,General ⊂ Medical
segment,546,Intermediate Segment Of Free Lower Limb; Proximal Segment Of Free Upper Limb; St Segment Elevation Myocardial Infarction; Left Main Coronary Artery Segment; Ramus Intermedius Artery Segment; Upper Lobe Segment Of Left Pulmonary Artery; Proximal Segment Of Free Lower Limb; Segment Of Colon; Bronchopulmonary Segment Of Bronchial Tree; Intermediate Segment Of Free Upper Limb; Regional Segment Of Venous Tree,19; 33; 79; 182; 14; 3; 4; 1; 1; 2; 1,0.7847178557381779,General ⊂ Medical
flash,26,Flash Pulmonary Oedema,13,0.7847948992740589,General ⊂ Medical
operative,110,Post Operative Finding; Operative Procedures On The Abdomen; Pre Operative Examination; Pre Operative Evaluation; Operative Procedures; Operative Bleeding; Intra Operative; General Operative Procedures On The Nervous System,35; 8; 3; 3; 2; 7; 2; 3,0.7851704862779043,General ⊂ Medical
expected,437,It Was About What I Expected; Fewer Than Expected,24; 2,0.7853123757351337,General ⊂ Medical
drug,26,Extraluminal Route Of Drug Administration; Anticoagulation Drug Level Below Therapeutic; Drug Administration Via Gastrostomy; Drug Administration Via Jejunostomy,20; 3; 63; 63,0.7853563975941611,General ⊂ Medical
plan,15,Explanation Of Plan : Medication,21,0.7854134937667033,General ⊂ Medical
gangrene,13,Unspecified Ventral Hernia Without Mention Of Obstruction Or Gangrene,2,0.7854555665233391,General ⊂ Medical
product,3,Dedicated Blood Product Donation; Ensure Product; Flair Product; Polymethyl Methacrylate Containing Product; Blood Product Administration By Intravascular Infusion; Whole Blood Or Product Procurement; Product Related Impurity,99; 32; 218; 2; 7; 2; 1,0.7854799905987425,General ⊂ Medical
one,853,One Day; One Week; One Activity Hour; One Year; One Month; Posterior One Third Of Tongue; One Or Two Days; Severity One Out Of Three; Pet Lays In One Place All Day,216; 19; 40; 5; 4; 3; 1; 1; 1,0.7855718713614736,General ⊂ Medical
lays,1,Pet Lays In One Place All Day,1,0.7856151166072857,General ⊂ Medical
organization,3,Company Organization,1,0.7856894634980702,General ⊂ Medical
skew,2,Skew Deviation,2,0.785839844894334,General ⊂ Medical
regional,13,Crohn S Regional Enteritis; Regional Segment Of Venous Tree,1; 1,0.7858590860658135,General ⊂ Medical
incarcerated,18,Incarcerated Femoral Hernia,9,0.7859730619220233,General ⊂ Medical
small,6417,A Small Amount Of Effort; Small Mass Of The Lung; Structure Of Small Blood Vessel Organ; Gastrointestinal Tract Small Intestine; Stage Iii Non Small Cell Carcinoma Of The Lung; Small Cell Neuroendocrine Carcinoma; Metastatic Non Small Cell Lung Cancer; Partial Obstruction Of Small Intestine; Extensive Stage Small Cell Carcinoma Of The Lung; Small Airways; Kawasaki Disease Associated Coronary Artery Aneurysm Z Score Suggests Small Aneurysm; Small Intestine Jejunum; Stage Non Small Cell Lung Cancer; Newly Diagnosed Non Small Cell Lung Cancer; Small Bowel Dilatation; Small Lesion; Pneumothorax Small; Non Keratinizing Malignant Small Squamous Cell; Sized Small; Secondary Malignant Neoplasm Of Small Intestine Incl Duodenum; Metastatic Small Cell Neuroendocrine Carcinoma; Recurrent Relapsed Non Small Cell Lung Cancer; Adenocarcinoma Of The Small Intestine; Metastatic Non Small Cell Carcinoma; Small Endplate; Progression Of Non Small Cell Lung Cancer; Resection Of Small Intestine; Stage Iiia Non Small Cell Carcinoma Of The Lung; Small Intestine Ileum; Structure Of Small Artery; Dedicated Small Bowel Series Ugi Sb Follow Through; Transvaginal Ultrasound : Multiple Small Cysts Of Ovary; Stage Small Cell Lung Cancer; Small Brain; Small Lung Volumes,378; 281; 161; 321; 9; 45; 43; 7; 5; 3; 3; 33; 1; 13; 2; 14; 3; 4; 10; 1; 1; 9; 1; 3; 1; 1; 5; 1; 3; 1; 4; 1; 1; 1; 1,0.7861231942962779,General ⊂ Medical
content,6,Content Of Mediastinum,10,0.7861527778083118,General ⊂ Medical
transit,27,Slowed Transit; Swallowing Function Pharyngeal Stage Transit Time,1; 1,0.7861994456090953,General ⊂ Medical
deployment,16,Medical Device Deployment,33,0.7865165207015001,General ⊂ Medical
end,115,End Diastolic; End Expiratory; Cell Cycle Regulator Of Nonhomologous End Joining; Dependence On Dialysis Due To End Stage Renal Disease; End Stage Copd,3; 2; 4; 2; 4,0.7865206094899158,General ⊂ Medical
circumferential,42,Multiple Benign Circumferential Skin Creases On Limbs,1,0.7866479188831189,General ⊂ Medical
ekg,46,Acute St Elevation Myocardial Infarction By Ekg Finding,1,0.7866562852980423,General ⊂ Medical
permanent,21,Permanent Pacemaker,8,0.7867103259011268,General ⊂ Medical
wave,26,Electrocardiogram : T Wave Observable Entity; Impairment Of Pharyngeal Stripping Wave,1; 1,0.7868232869436358,General ⊂ Medical
white,532,Central Nervous System White Matter; Matter Periventricular White; White Blood Cell Count Increased Lab Result; White Matter Changes; Left Shifted White Blood Cells; Periventricular Cerebral White Matter Hypodensities; White Blood Count; White Sputum; Hyperintensity Of Cerebral White Matter On Mri; Structure Of White Matter Of Occipital Lobe; White Matter Of Left Temporal Lobe; Periventricular White Matter Changes; White Matter Of Brain Syndrome; White Fiber; Lesions In The White Matter,144; 77; 86; 3; 48; 11; 2; 1; 5; 1; 1; 2; 1; 1; 1,0.7869095762241979,General ⊂ Medical
viewed,7,Cardiac Shadow Viewed Radiologically; Left Pulmonary Viewed Anatomically Apex; Pulmonary Viewed Anatomically Apex; Right Pulmonary Viewed Anatomically Apex,449; 77; 141; 141,0.7869326757019868,General ⊂ Medical
petrous,8,Structure Of Petrous Part Of Temporal Bone,1,0.7870088308773732,General ⊂ Medical
field,782,Pathology Field; Field S Stain; Entire Lung Field; Vfd Visual Field Defect,164; 10; 2; 1,0.7871835417817957,General ⊂ Medical
known,1455,Known Allergy,1,0.7871857552253484,General ⊂ Medical
newly,269,Newly Diagnosed; Newly Diagnosed Non Small Cell Lung Cancer,97; 13,0.787312043882218,General ⊂ Medical
margins,69,Surgical Margins Negative; Margins Of Excision,785; 138,0.7874959980766691,General ⊂ Medical
local,221,Under Local Anaesthesia; Local Infection Of Wound; Local Area,7; 14; 1,0.7875313231129856,General ⊂ Medical
disorder,10,Thrombotic Disorder; Hypertensive Disorder Systemic Arterial; Disease Disorder Etiology; Infectious Disorder Of Abdomen; Inflammatory Disorder; Blood Coagulation Disorder; Disorder Of Kidney; Disorder Of Paranasal Sinuses; Word Finding Difficulty Disorder; Congenital Familial And Genetic Disorder Class; Vascular System Disorders Disorder Of Aorta; Disorder Of Liver; Autoimmune Disorder; Mitral Valve Disorder Calcification; Disorder Of Blood Vessel; Chronic Inflammatory Disorder; Acute Disease Disorder; Lymphoproliferative Disorder; Adenocarcinoma Of Lung Disorder; Disorder Of Vein Obstruction; Disorder Of Carotid Artery; Fat Embolism As Early Complication Of Trauma Disorder; Disease Or Disorder Liver Cystic Congenital; Decompensated Liver Disease Disorder; Schizoaffective Disorder; Portal Systemic Vascular Shunt Disorder; Disorder Of Joint; Unspecified Disorder Of Cranial Nerves,99; 53; 29; 6; 2; 7; 10; 19; 3; 1; 4; 8; 1; 1; 5; 1; 1; 1; 9; 3; 1; 1; 3; 1; 1; 1; 1; 1,0.787538812637214,General ⊂ Medical
alcoholic,6,Alcoholic Cirrhosis Of Liver; Ald Alcoholic Liver Disease,5; 1,0.7875964174133758,General ⊂ Medical
ray,42,X Ray Electromagnetic Radiation; X Ray Of Chest Pa And Lateral Views Procedure; X Ray Of Chest : Right Sided Mediastinal Lymphadenopathy; X Ray Report; X Ray Of Foot : Postoperative Findings; Standard Chest X Ray Normal; Hand X Ray Periosteal New Bone Formation,77; 27; 1; 2; 6; 1; 1,0.7876286981850139,General ⊂ Medical
erosion,18,Erosion Of Bone,1,0.7877477964440076,General ⊂ Medical
segments,76,Cervical Segments Of Spinal Cord,6,0.7878494244207023,General ⊂ Medical
pole,188,Superior Pole; Structure Of Superior Pole Of Kidney; Inferior Pole,12; 1; 1,0.7878743387025785,General ⊂ Medical
lobes,610,Hepatic Lobes; Parietal And Occipital Lobes; Frontal And Parietal Lobes; Temporal Lobes Anterior; Temporal And Frontal Lobes; Occipital And Temporal Lobes,4; 6; 12; 2; 1; 5,0.7879196846145647,General ⊂ Medical
present,2186,History Of Present Illness Finding; Not Present Expanded Yes No Indicator; Endotracheal Tube Present; Probably Present Qualifier Value; Collapse Of Lung Present; Definitely Present Qualifier Value; Present Throughout The Entire Procedure,251; 31; 4; 4; 5; 2; 5,0.7879908533948979,General ⊂ Medical
several,419,Several Days,23,0.7881035579067888,General ⊂ Medical
stand,3,Ability To Stand Upright,2,0.7882338275841719,General ⊂ Medical
root,29,Sacral Spinal Nerve Root Structure; Mesenteric Root; Spinal Nerve Root And Spinal Cord; Anterior Spinal Nerve Root Structure,2; 3; 1; 1,0.7882841372927971,General ⊂ Medical
regions,239,Hemispheric Regions,1,0.7882975951765462,General ⊂ Medical
trapped,10,Trapped Lung,2,0.7885168485570934,General ⊂ Medical
syndrome,248,Renal Insufficiency Syndrome; Respiratory Distress Syndrome Acute; Right Middle Lobe Syndrome; Acute Renal Failure Syndrome; Superior Pulmonary Sulcus Syndrome; Acute Abdominal Pain Syndrome; Chromosomal Anomalies Polyploidy Syndrome; White Matter Of Brain Syndrome; Empty Sella Turcica Syndrome; Compartmental Syndrome; Cauda Equina Syndrome; Acs Acute Coronary Syndrome; Syndrome Arterial; Systemic Inflammatory Response Syndrome Unspecified; Subclavian Steal Syndrome; Hereditary Nephritis Deafness Abnormal Thrombogenesis Syndrome,56; 1; 1; 76; 95; 3; 1; 1; 4; 5; 8; 15; 7; 2; 2; 4,0.7885382522901849,General ⊂ Medical
intent,2,Diagnostic Intent; Staging Procedure Intent,12; 1,0.7886360772602249,General ⊂ Medical
endocrine,3,Neoplasm Of The Endocrine System,2,0.7887907294675718,General ⊂ Medical
prepped,147,The Patient Was Prepped And Draped In The Usual Sterile Fashion,3,0.7888602601868118,General ⊂ Medical
lamina,22,Excision Of Lamina Of Cervical Vertebra,2,0.7888740641878658,General ⊂ Medical
sb,3,Dedicated Small Bowel Series Ugi Sb Follow Through,4,0.7891162246600105,General ⊂ Medical
arteriosclerosis,2,Family History Of Coronary Arteriosclerosis,71,0.7894507687066223,General ⊂ Medical
posterior,1386,Median Eminence Of Posterior Lobe Of Pituitary Gland; Posterior Common Hepatic Lymph Node; Posterior Fossa; Right Posterior; Structure Of Posterior Tibial Artery; Large Posterior Fossa; Posterior Anterior; Posterior Margin; Posterior Fusion; Surgery Of Posterior Cranial Fossa Craniotomy; Tibialis Posterior Muscle Structure; Structure Of Posterior Horn Of Lateral Ventricle; Right Posterior Chest; Ribs . Posterior; Aneurysm Of Posterior Communicating Artery; Infarction Posterior Cerebral Artery; Mass Of Posterior Mediastinum; Cerebral Infarction Posterior Circulation Brain Stem Infarction; Lesion Of Posterior Fossa Of Cranial Cavity; Posterior Longitudinal Ligament Structure; Posterior One Third Of Tongue; Left Posterior Chest; Left Posterior Pararenal Space; Posterior Cerebral Artery And Its Branches Body Structure,1; 3; 104; 118; 41; 5; 5; 16; 26; 12; 3; 10; 3; 1; 1; 2; 3; 3; 15; 1; 3; 4; 1; 1,0.7895366644810178,General ⊂ Medical
reduction,100,Open Reduction Internal Fixation Orif; Lung Volume Reduction Procedure,2; 1,0.7897152637888368,General ⊂ Medical
ercp,6,Ercp Endoscopic Retrograde Cholangiopancreatography,5,0.7897574673350367,General ⊂ Medical
temporary,26,Temporary Pacemaker,3,0.7897576559728677,General ⊂ Medical
ascending,70,Ascending Colon Structure; Structure Of Ascending Portion Of Duodenum; Aneurysm Of Ascending Aorta; Cecum And Ascending Colon; Aorta . Thoracic . Ascending,6; 4; 1; 1; 5,0.7897942251698273,General ⊂ Medical
second,233,Mandibular Left Second Premolar Mesial Prosthesis; Five Per Second; Centimeter Per Second; Maxillary Left Second Molar Mesial Prosthesis; Second Half; Compression Fracture Of Second Lumbar Vertebra; Second Primary Neoplasms Metachronous; Mandibular Left Second Molar Mesial Prosthesis; Second Lumbar Spinal Nerve; Second Rib Fracture,2; 1; 21; 4; 2; 1; 1; 1; 1; 1,0.7900474061805055,General ⊂ Medical
enhancing,714,Contrast Enhancing Lesion,321,0.7900624817834399,General ⊂ Medical
multidetector,125,Tomography Multidetector Row Computed,487,0.7901235830636866,General ⊂ Medical
route,47,Intraparenchymal Route Of Administration; Extraluminal Route Of Drug Administration; Perilesional Route Of Administration; Intravenous Bolus Route Of Administration; Intracanalicular Route Of Administration; Intradural Route Of Administration,93; 20; 19; 1; 1; 6,0.7901328273783412,General ⊂ Medical
sound,3,Sound Of Respiration; Peristaltic Sound Absence,48; 3,0.790344611700126,General ⊂ Medical
rigid,146,Rigid Bronchoscopy,52,0.7904330771197936,General ⊂ Medical
complicated,74,Monitored Anesthesia Care Mac For Deep Complex Complicated Or Markedly Invasive Surgical Procedure,1,0.7904900563700806,General ⊂ Medical
abuse,14,Tobacco Abuse; Of Substance Abuse; History Of Alcohol Abuse; Aa Alcohol Abuse,1; 2; 2; 1,0.7911407847960878,General ⊂ Medical
deep,187,Deep Resection Margin; Deep Circumflex Iliac Artery; Dvt Deep Vein Thrombosis; No Deep Venous Thrombosis; Femoral Vein Deep Venous Thrombosis; Deep Venous Thrombophlebitis; Monitored Anesthesia Care Mac For Deep Complex Complicated Or Markedly Invasive Surgical Procedure; Sedations Deep; Deep Venous Thrombosis Of The Popliteal Vein,78; 38; 66; 7; 1; 45; 1; 1; 1,0.7912314295428687,General ⊂ Medical
marginal,20,Marginal Quality; Marginal Osteophytes,1; 1,0.791273754144056,General ⊂ Medical
proper,50,Set Of Abdominal Proper Lymph Nodes; Right Lumbar Lymph Node Group Proper,3; 2,0.7915472793205176,General ⊂ Medical
seed,61,Radioactive Seed Implant Dosing Unit; Seed Implantation,13; 12,0.7915646202138038,General ⊂ Medical
arch,214,Aortic Arch Structure; Chest Aortic Arch Head Neck Carotid Artery; Aortic Arch Branch,178; 1; 1,0.7917010338584841,General ⊂ Medical
