pretty_name,cui,frequency,average_acc
Limited Abdominal Ultrasound,C3161529,4,1.0
Multisection : Finding : Point In Time : Spine . Cervical : Narrative : Mri,C0882115,27,1.0
Back Pain Severe,C0238740,11,1.0
Structure Of Thoracic Vertebral Column,C0581269,69,0.9493316062573506
Foraminal Stenosis,C5453009,18,1.0
Nasoduodenal Feeding Tube,C3204189,127,1.0
Small Cell Neuroendocrine Carcinoma,C0262584,45,0.9518606904989309
Nuclear Magnetic Resonance Imaging Brain,C4028269,61,0.9498229086364132
Necrotic Lesion,C1334929,4,1.0
Environment Intensive Care Unit,C0021708,6,0.877254830553356
Curled,C5447266,7,1.0
Curling S Ulcers,C0010474,6,1.0
Metastatic Non Small Cell Lung Cancer,C0278987,43,1.0
Magnetic Resonance Imaging Of Cervical Spine,C0412718,5,1.0
Cervical,C0205064,15,0.769001569982958
Thoracic Cords,C3853028,11,1.0
Indentations,C0332467,36,0.9379360899390193
Pathologic Compression Fracture,C4707952,19,1.0
Ventricular Drain Placement,C5442408,4,1.0
Resorption,C2985494,5,1.0
May Be A Attribute,C1278418,69,1.0
Surgical Construction Of Shunt,C0813207,55,0.9573969874687146
2 Days Ago,C5570858,9,1.0
Skin Staples,C1139841,44,1.0
In Blood,C0005768,20,0.9306383254110123
75 Years Old,C4035139,301,1.0
X Ray Electromagnetic Radiation,C0043309,77,0.9856194205384543
Saturations,C0522534,35,1.0
Seed Implantation,C1519225,12,1.0
Migrating,C0232902,16,1.0
Placement Check,C4699990,5,1.0
Spiculated Mass,C2986562,51,1.0
Subclavian Right,C0694675,152,0.7907644099749983
Yes Limited A Little,C3829283,24,1.0
Blood Tinged,C4068777,7,1.0
Strikes Employee,C0038452,8,1.0
Tachys,C3463983,11,1.0
Trach,C0749607,191,1.0
Exteriorisation Of Trachea,C0472567,11,0.894239327410693
Tracheostomy Device,C1875833,77,0.8663123417917792
Analytical,C0936012,63,0.9920161636707189
Later,C0205087,30,1.0
Mediastinal Emphysema,C0025062,18,0.8088464458464698
Lung Observations,C0577914,8,1.0
Iv Access,C5214472,31,1.0
Right Upper Extremity Structure,C0230329,23,0.7966144044163997
Right Brachial Region,C4048756,43,0.889352449743019
Perforation Procedure,C0034117,35,1.0
0 . 018 Inch,C0450304,10,1.0
Catheter Guide Wire Device,C0181089,150,0.8968868256669013
Resolving,C3714811,75,0.997301244455009
Diuresin,C0905073,3,1.0
Immediate Radiation Injury,C1265635,2,1.0
Acute Pulmonary Oedema,C0155919,5,1.0
Billion Per Gram,C4055382,3,0.7847281838387742
Gram Stain Of Sputum,C0748963,1,1.0
Tracheal Structure,C0040578,323,0.9312437154182436
Flexible Bronchoscopy,C5548084,9,1.0
Superior,C1282910,3,1.0
Electromagnetics,C0013838,1,1.0
Metallic Object,C2826620,2,1.0
Old Fracture,C5453030,7,1.0
Systolic Congestive Heart Failure,C2039715,1,1.0
Increased Sputum Production,C5539771,4,1.0
Free Air In Peritoneal Cavity,C0032320,59,0.9607252273532364
Lih Left Inguinal Hernia,C0262537,7,1.0
Degenerative Joint Disease,C0029408,3,1.0
Anterolisthesis,C1504511,28,1.0
Vessels Coronary,C0010075,9,1.0
Structure Of The Penis,C0030851,11,0.9807382831327853
Meta,C1042496,2,1.0
Reporting Ultrasounds,C0749761,3,1.0
Superficial Lesion,C1336528,1,1.0
Echogenic,C4697723,36,1.0
Multiple Tattoos,C0749257,1,1.0
New Onset Of Cough,C2220033,7,1.0
Cough Question,C5420054,2,1.0
Heart . Atrium . Right,C0225844,45,0.7770428811913888
Periventricular Cerebral White Matter Hypodensities,C4022720,11,1.0
Cannot Get About Finding,C0427004,13,1.0
No Deep Venous Thrombosis,C3651001,7,1.0
Febrile Neutropenia,C0746883,28,0.9927427527567694
Fever Symptoms Finding,C0424755,20,0.8609081826607682
Magnetic Resonance Imaging Of Head,C0412674,43,0.9951502643762661
Patient Motion Artifact,C2828134,51,1.0
Right Temporal Lobe Structure,C0228232,56,0.8252394069331209
Partial Volume Averaging,C2828111,3,1.0
Blunt Trauma,C0043253,17,1.0
Recurrence,C0034897,9,1.0
Angulating,C0333179,16,1.0
Open Reduction Internal Fixation Orif,C0747060,2,1.0
Skin Avulsion Injuries,C0433122,9,1.0
Oedema Of Bilateral Lower Extremities,C5230913,2,1.0
Intertrochanteric,C0745355,2,1.0
Fixated,C0849453,1,1.0
Structure Of Head Of Femur,C0015813,2,0.7568715312412495
Computed Tomography Cystography,C4041471,4,1.0
Motor Vehicle Collision,C0000932,16,0.9931250000000001
Uneventful,C5453124,68,1.0
Heterotopic Bone,C4061353,1,1.0
Diverticulum Of Bladder,C0156273,2,1.0
Degenerative Disorders,C1285162,21,1.0
Convex To Left,C0443194,3,1.0
Thyroid Nodular,C0235456,1,1.0
Extremely Poor,C4329809,1,1.0
Pyloric Structure Of Stomach,C0034196,43,0.9970997356549945
Right Naris,C0694673,3,1.0
Insufflate,C5439224,5,1.0
With Water,C1883711,2,1.0
Unspecified Multiple Injuries,C0026771,1,1.0
Regio Tarsalis,C0003086,21,0.9012991519839082
Malleolar Fracture,C1096630,3,1.0
Trauma Qualifier,C1510467,43,0.8516114651492451
Talar Mortise,C3900033,3,1.0
Surgical Staples,C0524724,63,0.9966666666666669
Structure Of Calf Of Leg,C0230445,5,0.7885716697466127
Subcutaneous Edema,C3670763,4,0.7756311118365099
Malleolus,C1550274,1,1.0
Runoff,C4699993,11,1.0
Nof Fracture Of Neck Of Femur,C0015806,3,1.0
Ct And Ct Angiogram,C4300291,1,1.0
Pelvis And Lower Extremity,C1562943,2,1.0
Chest And Abdomen,C1442171,22,1.0
Seventh Rib Fracture,C0920225,5,1.0
Repair Of Aortic Aneurysm,C0397942,2,0.9422148714643213
Fulfill,C1550543,44,1.0
Intertrochanteric Fracture Of Femur,C0162385,4,1.0
Structure Of Popliteal Artery,C0032649,21,0.98650861394232
Not Observed,C4697693,3,1.0
Sti Soft Tissue Injury,C0037578,3,1.0
Ultrasound Of The Thyroid,C0877525,6,0.8133131703747584
Non Emergent,C3842236,3,1.0
Patents Rights,C0443292,7,1.0
Bone Structure Of Knee Joint Region,C0022742,21,0.9259526405929883
Updated,C1519814,5,1.0
Filter Device,C0180860,136,0.8701609564296041
Surgical Operation Note : Find : Pt : Setting : Doc : Role,C0551628,5,1.0
Delineation,C4684445,38,0.9871965762911209
Intramedullary Rod Device,C0336581,1,0.7515610690081568
Avulsion Injuries,C0262386,1,1.0
Softly,C0205358,4,0.9049775127425702
Diffuse Osseous Demineralization,C3276906,2,1.0
Pe Protocol,C0950671,12,1.0
Greatly,C3840786,10,1.0
Control Of Hip Fracture Risk,C0518449,33,0.9650689650964346
100 Ml,C5452754,29,1.0
Retained Secretions,C4061148,14,1.0
Work Of Breathing,C0043229,24,1.0
Electromagnetic Spectrum,C1883073,11,1.0
Normal Capillary Refill Time,C0232357,14,0.8289496775404802
Broken,C5547829,6,1.0
Postoperative Pneumothorax,C0865838,5,1.0
Bronchial System,C1442216,195,0.8924053886580939
Surgical Pneumothorax,C1443284,2,1.0
Hounsfield Unit,C1552985,34,1.0
Abnormal Pulmonary Interstitial Morphology,C5441745,63,0.8894801961946626
Chronic Rheumatic Arthritis,C0003873,2,1.0
Section 3 Heart And Pericardium,C1541678,24,1.0
Interstitial Disease,C1881236,16,1.0
Investigation Finding,C0243095,11,0.952952959066117
Antecubital,C1549091,30,1.0
Vena Cephalica Antebrachii,C0226802,57,0.811710853945009
Interrupted Respiration,C0235744,8,0.991197844645636
Mediastinal Adenopathy,C1386346,69,1.0
Subcarinal Mass,C0749080,21,1.0
Malignant Lymphoma,C0024299,33,0.8674183395546814
Congenital Abnormality Of The Kidney,C0266292,2,1.0
Evides,C3989109,1,1.0
Locales,C0023937,10,1.0
Roleclassinstance,C1550608,2,1.0
Lymph Node Of Aortopulmonary Window,C1268054,9,1.0
Passive Congestion,C0042484,12,0.9991666666666666
Accumulation,C4055506,18,1.0
Sound Of Respiration,C0035234,48,0.9752035842789417
Pain Free,C0908489,2,1.0
Pain . Status,C0946268,1,1.0
Vena Caval Structure,C0042460,13,0.9597036989542926
Etc .,C1548556,11,1.0
Congestive,C0742742,43,1.0
Viscous,C0311419,6,1.0
Perforated Viscus,C2053066,4,1.0
Structure Of Lesser Curvature Of Stomach,C0227221,1,1.0
Structure Of Head Of Pancreas,C0227579,23,0.9816012776645545
Moderate Amount,C3869891,39,1.0
Prosthetic Arthroplasty Of Left Hip,C2316676,4,1.0
Clinical Significance,C2826293,14,1.0
Doubtful,C0750558,32,0.9786062329211734
Set Of Abdominal Proper Lymph Nodes,C0588058,3,1.0
Partial Obstruction Of Small Intestine,C0281936,7,1.0
2 Moderate,C3840563,8,1.0
Pulmonary Process,C0748169,43,1.0
Operative Procedures On The Abdomen,C0198482,8,1.0
Mass Of Adrenal Gland,C0342500,51,1.0
Set Of All Parietal Lumbar Lymph Nodes,C2953246,7,1.0
Prosthetic Arthroplasty Of Right Hip,C2316675,2,1.0
Fluid Filled,C4086317,42,1.0
Pulmonary Effusion,C1608981,15,1.0
Wire Sutures,C1961549,4,1.0
Sternotomy Sutures,C1961550,6,1.0
Enteric,C1304890,25,1.0
3 Days,C1442459,10,1.0
Vascular Clip Device,C0179992,12,1.0
Hernias Hiatal Large,C0744895,10,1.0
Lymph Node Mass,C0746921,42,1.0
Tdgf1P3 Gene,C3469968,2,1.0
Cervico Medullary Junction,C1516438,2,1.0
4 Levels,C0456950,10,0.987944546520545
Structure Of Intervertebral Foraman,C0223085,29,1.0
Central Canal Of The Spinal Cord,C0459414,17,0.7742227774379375
Murmur Apical Diastolic With Presystolic Accentuation,C2072523,8,1.0
Kyphosis Deformity Of Spine,C0022821,11,0.9109139939462009
Several Days,C3845714,23,1.0
Longest Perpendicular,C3272962,26,1.0
Multiple Nodules,C2221194,22,1.0
Structure Of Soft Tissues Of Neck,C1276274,10,1.0
Ischemic Attack,C0745413,30,1.0
Haemorrhage Brain,C0553692,1,1.0
Right Supraclavicular Lymph Node,C2330821,9,1.0
Enlarged Right Supraclavicular Lymph Node,C2037469,1,1.0
Diagnostic Intent,C0348026,12,1.0
History Of Back Pain,C3494784,5,1.0
Prone Positioning,C4551696,8,0.8840592735801953
Under Anaesthesia,C1720436,14,1.0
Needle Biopsies Large Core,C1318309,14,0.8144792555398669
Biological Specimens,C0370003,17,0.8993457874329741
Forty Five Minutes,C1442463,6,1.0
Primary Reason,C1549995,5,1.0
Ground Glass,C4697773,105,1.0
Pancreas And Stomach,C0545812,3,1.0
Procedures On Prostate And Seminal Vesicle,C0545926,7,1.0
Ih Inguinal Hernia,C0019294,17,1.0
Rih Right Inguinal Hernia,C0262617,14,1.0
Neoplastic Disease Extent Indicator,C5400654,11,0.9867621239175162
Vertebrectomy,C2363924,17,1.0
Lower Extremity . Left Knee,C4299111,1,1.0
Tarsal,C1550316,1,1.0
History Of Gout,C0455492,1,1.0
Metastatic Mass,C1334721,11,1.0
Cystic Lesions,C1511606,53,1.0
Satellite Lesion,C5204310,20,1.0
Cystic Mass,C0746405,12,1.0
Left Occipital Lobe Structure,C0228219,36,0.8413432700943612
Parietal And Occipital Lobes,C0546006,6,1.0
1 Mm,C3842090,21,1.0
Vascular Insufficiency Acute,C0232353,19,1.0
Compartment Space Of Orbit,C0029180,22,0.8044672072409607
Neuroendocrine Tumor Primitive Neuroectodermal,C0206663,1,1.0
Structure Of Eyeball,C0015392,29,0.9974452559441577
Tracheobronchial Endoscopy,C0006290,4,1.0
Reference Object,C1706462,41,0.9034022987308638
Left Supraclavicular Lymph Node,C2337090,6,1.0
2 Axis,C0945856,10,1.0
Endobronchial Lesion,C2985135,79,1.0
Bullous Disease,C3149269,16,1.0
Ultrasound Of Abdomen : Spleen Normal Procedure,C2181190,14,1.0
Ileal Loop,C1550266,2,1.0
Structure Of Coeliac Lymph Node,C0229766,3,1.0
Seminal Vesicle Structure,C0036628,21,1.0
Degeneration Of Intervertebral Disc,C0158266,14,1.0
Bc Bronchogenic Carcinoma,C0007121,29,1.0
Cad Coronary Artery Disease,C1956346,61,1.0
Enlarged Prostate,C0426732,4,1.0
Tissues Muscle,C0026845,10,0.99
Decompensation Respiratory,C1394769,1,1.0
Tracheal Stents,C0183517,71,1.0
Retrocrural Lymph Node,C2953130,12,1.0
Removal Of Tracheal Stent,C0844432,2,1.0
Spike Physical Object,C3882441,11,1.0
Abnormal Alveolar Pattern,C1332240,20,1.0
Open Communication,C0518574,2,1.0
Sob Shortness Of Breath,C0013404,3,0.9232068799790909
Severely Short Of Breath Answer,C4054032,3,1.0
With Texture,C0449582,2,1.0
Tracheobronchial Stents,C1283110,16,1.0
Lvf Left Ventricular Failure,C0023212,26,1.0
Difficulty Weaning,C2183459,15,1.0
Weaning From Ventilator Finding,C1386697,4,1.0
Engorged,C0700140,26,1.0
Overhydrated,C0311415,1,1.0
Catheter Subclavian,C0493188,68,1.0
1 Finding,C5201140,5,1.0
Partial Atelectasis,C2721612,38,1.0
Status Pneumonectomy,C1405199,4,1.0
Ccf Congestive Cardiac Failure,C0018802,14,0.7633073202153268
Is There A Cancer History,C5202688,9,0.9955555555555556
Acquired Kyphoscoliosis,C0600033,3,1.0
Could Not Be Determined,C5552783,6,0.8738659289413326
Infrequently,C0521114,4,1.0
Autosomal,C0596142,3,1.0
Angio,C4071827,41,1.0
Acute Dyspnoea,C0743323,13,1.0
Superior Pole,C0929240,12,1.0
Unusual Gas Collection,C0333139,33,0.9508904910612089
Mycobacterial,C0521015,8,1.0
Tuberculosis Status : Type : Point In Time : Patient : Nominal : Reported,C1976626,1,1.0
Infection Severity,C0517627,2,1.0
Mild Hydronephrosis,C0237059,3,1.0
Balloon Dilatation Catheter,C0441127,4,0.9617303895031021
Pulmonary Nodule New,C0748165,4,1.0
Rho Related Gtp Binding Protein Rhob Human,C4721671,9,1.0
Thoracic Aorta And Its Branches Body Structure,C1283351,1,1.0
Abdominal Organs,C0446633,32,1.0
In Urine,C0042037,4,0.9368415089050184
Bladder Wall Thickening,C4324732,4,1.0
Ignored,C1554079,1,1.0
Orders Hl7Publishingdomain,C3244315,28,0.8374616007816756
X Ray Of Chest Pa And Lateral Views Procedure,C2041426,27,1.0
Tracheal Displacement,C0392014,11,0.8737815800700144
Left Temporal Lobe Structure,C0228233,30,0.861338798958725
Bronchial,C0205039,75,0.8909764869874086
Mucus Plugging,C0333133,26,1.0
In The Morning,C0332170,26,0.9911695611561063
View Apical Lordotic,C0883203,1,1.0
Linear Atelectasis,C0264495,77,0.8334749052594965
Fracture With Displacement,C0585059,5,0.7984202877271277
3 Slightly,C4035841,2,1.0
Officers,C1549461,10,1.0
At 17,C0104487,33,1.0
Day 7,C3842672,1,1.0
Drainage Of Lymphatics,C0398480,8,1.0
Diminution Of Size,C0332511,24,1.0
Ich Intracerebral Haemorrhage,C2937358,9,1.0
Airway Hyperreactivity,C0004096,24,0.8395035053790848
Right Side Of Chest,C1183546,1,1.0
Estimated Potential Vessel Value,C2348043,49,1.0
Measurement In General,C0242485,23,0.8004198743670422
Precise,C2939802,26,1.0
Neoplasm Of The Trachea,C0040582,1,1.0
3 Moderate,C3843524,3,1.0
Three Dimensional Images,C1253948,15,1.0
Postobstructive Pneumonitis,C0747690,216,0.9989308816915872
Before Contrast Medium,C3534464,46,1.0
Periphrenic Space,C2952673,2,0.7570052986617748
Chest Tumors,C3826590,2,1.0
Lower Extremity Femoral Vein Popliteal Vein,C3263217,13,1.0
Computerized Tomography Of Neck,C0412604,48,0.9874412213279756
Parotid Gland Structure,C0030580,28,0.9980255977045261
Fifty Seven,C4517815,1,1.0
Border Of Heart,C0457109,90,0.989117166691952
Thought Functions Unspecified,C0039869,4,0.9541228929059464
Last Two Weeks,C4288440,3,1.0
Discontinuous Anatomic Feature,C0443239,1,1.0
Bone Scan Abnormal,C0740353,2,1.0
Annulus,C2262860,2,1.0
Drain Device,C0180499,22,0.8589818729433112
Resection Of Carina Of Trachea,C0396529,3,1.0
Medical History Infections,C2049826,1,1.0
Investigating,C1292732,4,1.0
Cross Sectional Imaging,C3824793,17,1.0
Cognitive Functions Confusion,C0009676,12,0.8935190799223394
Aortic Tortuosity,C4025003,4,1.0
Thin Qualifier Value,C0205168,7,0.796898877816275
Dextroscoliosis,C3494893,8,1.0
Proton Magnetic Resonance Spectroscopic Imaging,C0032743,28,0.9821808119997513
Imaging Studies,C1881134,7,1.0
Lateral Surface Of Thorax,C0446472,8,1.0
Superior Pulmonary Sulcus Syndrome,C0030271,95,1.0
Exacerbation Copd,C0740304,54,1.0
Respiratory Inspiration,C0004048,7,0.8214101822585791
Therapeutic Abdominal Paracentesis,C2057774,2,1.0
Peritoneal Fluid Body Substance,C0003964,12,0.9609025237879548
Computed Tomography Of Abdomen And Pelvis Procedure,C1641132,4,1.0
Quadrant Right Lower,C0439736,34,0.9837995597912477
Fluids Ascitic,C5441965,4,0.842381891025423
Abdominal Distension,C0000731,8,0.8462558852084475
Pain And Tenderness,C0234242,3,1.0
Estimating,C0750572,4,1.0
Serosal,C0521344,3,1.0
Adrenal Nodule,C4324551,53,1.0
Vasculature Of Abdomen,C1184186,4,1.0
Osteolytic,C1518633,31,1.0
Defects Pars,C0747280,2,1.0
Pulmonary Contusion,C0347625,2,1.0
Honeycombed Pattern,C1335761,8,1.0
Chronic Bullous Emphysema,C1261120,22,1.0
6 Hours,C1292428,11,1.0
Injury Of Cervical Spine,C0432666,1,1.0
Dendritic Spine Neck,C3159206,20,0.8124807006725538
Sclerotic Vertebral Endplates,C4551970,10,1.0
Osteophyte Formation,C5442360,19,1.0
Flowing,C0806140,4,1.0
Clinical Finding,C3540840,5,0.9568936003060273
A Fair Amount,C4290029,4,1.0
Right Inferolateral,C1180186,1,1.0
Not Difficult At All,C0332219,16,1.0
Self Extubated,C4700058,5,1.0
Reintubated,C4698387,56,1.0
Mainstreaming In Education,C0024500,2,1.0
Five Per Second,C1880782,1,1.0
Infectious Disease Of Lung,C0876973,4,0.8585177646644075
Dyspnea Question,C5420012,2,1.0
Distress Question,C5420160,4,1.0
Fatal Submersion Immersion,C0013142,15,1.0
Lobar Pneumonia,C0032300,1,1.0
Veterans Alcoholism Screening Test Vast,C0814230,4,1.0
Mucous Plugging,C5563324,44,1.0
Interlobular Septal Thickening,C5539418,32,1.0
Metastatic Lung Carcinoma,C4727087,16,1.0
Inflammation Calcified Granulomatous,C0333404,13,0.7827296767100722
Inferior Margin,C4489133,29,1.0
Tumour Infection,C4760904,2,1.0
Healings Fracture,C0162542,4,1.0
Mi Myocardial Infarction,C0027051,46,0.9164567965085471
Traumatic Brain Injury,C0876926,1,1.0
Velocities,C0439830,36,0.9746547581556297
Structure Of Vertebral Artery,C0042559,69,0.8711278523629723
Change In Mental Status,C0856054,28,1.0
Limited Area,C0392752,18,1.0
Multiple Areas,C4266465,33,1.0
Left Posterosuperior,C1180164,1,1.0
Posterosuperior,C1179851,2,1.0
Mandibular Right First Molar Mesial Prosthesis,C1553624,17,1.0
Flight Process,C2610507,24,1.0
Right Occipital Lobe Structure,C0228218,24,0.8511544060247854
Branch Of Middle Cerebral Artery,C0923405,1,1.0
Structure Of Right Vertebral Artery,C0226230,26,0.8459805776788364
Tributary Of Attribute,C4518418,6,1.0
Cerebral Infarction,C0007785,1,1.0
Bronchoscopic Procedure,C1827140,1,1.0
Presently,C0750528,5,1.0
Chest Xray Diaphragm Elevation Unilateral,C0239015,3,1.0
Fewer Than Expected,C4086785,2,1.0
Kinking Of The Aorta,C0851256,4,1.0
Generalised Muscle Weakness,C0746674,8,1.0
Magna,C5142955,7,1.0
Weeks,C0439230,15,0.9327301493633728
Nuclear Receptor Subfamily 2 Group B Member 1,C3887580,13,1.0
Perilesional Route Of Administration,C5555499,19,1.0
Vertebrobasilar Arterial System,C0545733,4,1.0
Respected,C0679133,9,1.0
Dna Sequencing,C0162326,176,0.9350908167422862
Structure Of Region Of Bone,C1282216,1,1.0
Base Of Skull Structure,C0149543,49,0.9868742365966947
Dural Graft,C0863230,1,1.0
Perihilar Lung Mass,C0747481,13,1.0
Anterior Mediastinal Part Of Chest,C0230148,24,0.8847912909536944
Old Blood,C5570975,2,1.0
Favoring,C0309049,21,1.0
Disease Disorder Etiology,C1314792,29,0.8349171607201611
Cross Sectional Analyses,C0010362,14,1.0
Hemosiderin Deposits,C5194649,1,1.0
Arachnoid Cyst,C0078981,3,1.0
4 Hours,C1292426,44,1.0
Postoperative Haemorrhage,C0032788,16,0.9293037545799031
Paratracheal Mass,C0747260,35,1.0
Replicating,C0205173,1,1.0
Mass Of Mediastinum,C0240318,200,1.0
Tethering,C0577538,6,1.0
Effects Of,C1704420,13,1.0
Pulmonary Status,C0449930,11,1.0
Tapering Action,C0441640,10,1.0
Totally Implantable Venous Access System,C3495140,26,0.9129960839924196
Medical Device Malfunction,C4054552,1,1.0
Unsuccessful,C1272705,41,1.0
Pulmonary Aspiration Of Blood,C0232077,4,1.0
Achieved,C5453128,72,1.0
Extensive Stage Small Cell Carcinoma Of The Lung,C0278726,5,1.0
Y Stents,C1322806,47,1.0
Placement Of Stent,C0522776,218,1.0
Stent Device,C0038257,73,0.8962788216760724
Mucous Body Substance,C0026727,23,0.873480310871044
Obstructing Lesion,C0746981,20,1.0
Temporally Uniform Pulmonary Inflammation,C1290344,1,1.0
Structure Of Neck Of Gallbladder,C0227546,1,1.0
Cystic Duct Structure,C0010672,2,0.8050547115000843
G Protein Coupled Receptor 167,C1428991,3,1.0
Wedge Shaped,C0332503,23,1.0
Infarct Of The Spleen,C0037998,12,1.0
Too Low,C4036057,13,1.0
Left Lateral Sulcus,C2952142,1,1.0
Bone Structure Of Rib,C0035561,12,1.0
5 Fr,C4068971,20,1.0
Electrocardiograph Lead : Finding : To Identify Measures At A Point In Time : Patient : Nominal,C1714882,6,1.0
Physical Context,C0442504,29,0.9944827586206894
Application Of Dressing Sterile Procedure,C0278292,22,1.0
Coronary Ct,C4699397,37,1.0
Dyspneic,C0277854,6,1.0
Superior Left,C1180151,46,1.0
Pulse Phenomenon,C1947910,21,0.9877964102252321
Structure Of Axillary Vein,C0004456,31,0.8317456843332728
Inferior Part Of Chest Wall,C4322848,9,1.0
Structure Of Bronchial Artery,C0006257,150,1.0
Artery Embolization Procedure,C0397760,61,1.0
Structure Of Right Common Femoral Artery,C4706713,51,1.0
Drop Unit Of Volume,C4048603,18,1.0
Guidance For Embolization,C0013931,1,1.0
Curving,C0205134,9,1.0
Glidewires,C4287176,39,1.0
Angiography Of Cerebral Arteries : Tumor Blush,C2026436,9,1.0
Airways Disease,C0699949,20,1.0
Tumor Infiltration,C4060690,16,1.0
Small Airways,C1862763,3,1.0
Body Remains,C4277724,1,1.0
Structure Of Azygous Vein,C0004526,19,0.9313790073397495
Leakages Anastomotic,C0919691,1,1.0
Anastomosis,C0332853,18,0.9331680276215866
Prompting,C0871157,9,1.0
Upper Gastrointestinal Tract Radiography,C0203057,29,1.0
Family History Of Coronary Arteriosclerosis,C2317524,71,0.8974290680972816
Upper Gi Gastrointestinal Haemorrhage,C0041909,3,0.9003919905165484
Psyche Structure,C0229992,7,1.0
Bidirectional,C1706937,2,1.0
A Pattern,C4699190,5,1.0
Interstitial Thickening,C2750120,34,1.0
Less Than Or Equal To,C0439090,5,1.0
Left Major Fissure,C0929210,13,1.0
Cortical Destruction,C4479377,7,1.0
Nodus Lymphaticus Supraclavicularis Axillae,C0229730,19,0.9658362812823815
Additional Level,C4534543,1,1.0
Neoplasm Of The Extradural Spinal Canal,C0014536,11,1.0
Magnetic Resonance Imaging Mri Of Spine,C0177803,3,1.0
Reticuloendothelial System Bone Marrow,C0005953,21,0.9899999999999998
Combines,C0336789,6,1.0
Accentuated,C1997416,18,1.0
Imaging Of Thorax,C1531652,7,1.0
Most Significant,C1299394,5,1.0
Loculated,C0205277,39,0.7665192639191439
Infectious Disorder Of Abdomen,C1112209,6,1.0
Unknown Source,C3846543,9,1.0
Coronary Artery Stents,C0687568,5,0.998
Dilation Of Duct,C1285253,8,1.0
Biliary System Stone,C0242216,28,0.8484126739515216
Colon Diverticulum Anatomic Structure,C0012811,7,0.9659400149895717
Pain And Fever,C3499958,2,1.0
Structure Of Caudate Lobe Of Liver,C0227489,6,1.0
No . 12P Hepatic Lymph Node,C3897880,12,0.9925
Para Aortic Region,C0456269,23,0.9929512639775113
Nodi Lymphoidei Retrocavales,C0933348,1,1.0
Carbonic Anhydrase Va Mitochondrial,C1413046,3,1.0
Large Exophytic Cysts,C4229072,3,1.0
Pelvic Lymph Node Structure,C0729595,6,0.817023554039754
Anaemia,C0002871,9,0.8967174306323188
8 Hours,C1292429,9,1.0
Non Neoplastic Condition,C1709246,1,1.0
Explanations,C0681841,1,0.7878301119227544
Metastatic Malignant Neoplasm To Vertebral Column,C0684550,12,1.0
Maxillary Left Lateral Incisor Mesial Prosthesis,C1553564,3,1.0
Lumbosacral Region Of Vertebral Column,C0223603,3,1.0
History Of Anemia,C0559154,1,1.0
Multisection For Motion,C4264258,4,1.0
3 Levels,C0456949,5,0.9960000000000001
Proliferation Morphologic Abnormality,C0334094,3,0.8812639388135398
Upper Cervical,C5452875,10,1.0
Chronic Myeloproliferative Disorders,C1292778,2,0.8353099102211887
Extraosseous,C2986507,1,1.0
Scan With Contrast,C1167879,13,0.9083225146255978
Notifications Procedure,C0422202,4,0.9318786961637214
Leptomeningeal Metastasis,C0948840,6,1.0
Optimum,C2698651,64,1.0
Examination Of The Abdomen,C0562238,10,1.0
Abdominal Tenderness Absent,C0573980,1,1.0
Lower Abdominal Pain,C0232495,6,1.0
Ischemic Bowel,C0741611,19,1.0
Left Lower Quadrant,C0439737,21,0.934072450983402
Iliac Vein Structure,C0020888,29,0.7909758991332826
Lobulated Nodule,C4763780,93,1.0
Polymorphonuclear Leukocyte Infiltration,C0333361,6,1.0
At Home,C4534363,7,1.0
Ad Alzheimer S Disease,C0002395,1,0.8471727870830594
Occlusion Of Blood Vessel,C1096458,4,0.8454947203041331
Mildly Decreased,C5425896,9,1.0
Inflammatory Disorder,C1290884,2,1.0
Structure Of Hilum Of Lung,C0225701,3,0.8409508531401232
Subdural Intracranial Haemorrhage,C0018946,15,1.0
Magnetic Resonance Imaging With Contrast,C0202671,13,1.0
Assessment Of Body Build,C1318474,17,1.0
No Thrombus,C1276764,9,1.0
Multiple Thyroid Nodules,C0342208,3,1.0
Primary Lesion,C1402294,19,1.0
Likely Benign Variant,C4264622,10,1.0
Cerebral Convexity,C4329648,71,1.0
Structure Of Anterior Cerebral Artery,C0149561,7,0.8319635564785516
Kawasaki Disease Associated Coronary Artery Aneurysm Z Score Suggests Small Aneurysm,C5238768,3,1.0
Multisection For Postoperative,C4263750,15,1.0
Posterior Margin,C4489132,16,1.0
Personal History Of Coronary Artery Disease,C1881055,5,1.0
Fibrosis Interstitial Pulmonary,C3887486,6,0.8230927378971901
Unlisted Vascular Surgery Procedure,C0042381,3,0.8773777232534364
Right Thalamus,C2328150,6,1.0
Ct Arteriogram,C3267198,3,1.0
Emr Electronic Medical Record,C2362543,1,1.0
History Of Repair Of Aneurysm Of Abdominal Aorta,C1997125,1,1.0
Trunk Of Renal Arterial Tree,C0035065,88,0.9768157367159386
Structure Of Coeliac Artery,C0007569,36,0.9344546069414617
Structure Of Left Common Femoral Artery,C4706712,19,1.0
Structure Of Profunda Femoris Artery,C0226455,6,0.9487931515411131
Faecal Impaction,C0015734,1,1.0
Aortic Bifurcation Bypass Graft Procedure,C0397949,5,1.0
Reticular Nucleus Of The Spinal Cord,C3498560,1,1.0
Arterial Occlusion Treatment,C3693351,3,1.0
Pain In The Lower Extremities,C0239376,4,1.0
Structure Of Dorsalis Pedis Artery,C0226492,2,1.0
Aphasic,C0234461,4,1.0
